country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Gambia,−1,−1,−4.05,−4.05,0,−0.7,0,−2.6,−0.8,−0.6,11.5,2.5,0.2,1.6
Guinea-Bissau,−0.05,−0.05,0,0,0,−5.6,−1.7,6.7,0,0.5,0,0,6.5,0
Equatorial Guinea,0.5,0.5,−1.75,−1.75,−0.7,0.6,−0.6,−1.1,1.1,−0.7,1.1,1.1,0,0
Greece,0,0,−1.05,−1.05,−2.7,0,0,−2,0,−2.2,0.6,0,1.4,−0.4
Guatemala,0,0,−0.1,−0.1,−1.7,0,−0.7,0,1.1,0,−0.6,−2.6,−3.4,−2.9
Guyana,−0.15,−0.15,−0.35,−0.35,0,0,0,−1.4,1.4,2,2.1,2.1,−5.2,−1.4
"Hong Kong, China",−0.9,−0.9,0.35,0.35,0,5,0,0.4,0.4,−0.8,−1.1,−1.6,−1.3,−4.5
Honduras,−0.35,−0.35,−2.1,−2.1,0.8,0,0,0,0,0.8,−2,−0.9,−2.1,−0.6
Croatia,0,0,−1.15,−1.15,−0.8,2,0,0,0,−1.8,−1.2,−0.6,0,−0.7
Haiti,0,0,−0.95,−0.95,0,−0.4,−0.2,−1.2,1.2,0.8,0.1,8.8,−3.4,−3.5
Hungary,−0.45,−0.45,−1.15,−1.15,−1.7,−0.8,0,−0.6,−0.6,−1.2,−0.8,−0.1,0,−0.7
Indonesia,−0.35,−0.35,0.95,0.95,0,2.3,0.6,1.3,0.8,−0.6,−5.8,0,0.9,−1.8
India,0.6,0.6,−2.6,−2.6,0.2,2.2,1.7,2.3,−1.8,0.7,−5.8,0,−3.3,−2.9
Ireland,0,0,−1.1,−1.1,−2.3,0,1.2,0.4,1.3,3,0,0,0.9,−1.9
Iran,−0.5,−0.5,−4.45,−4.45,0.4,0,0,0,1.8,1.8,1.1,0,−0.7,
Iraq,−0.05,−0.05,0,0,0.3,0.7,0,1.3,−1.5,0,0.1,−0.3,−3.2,−1.2
Iceland,−0.3,−0.3,0,0,0,0,0,−0.7,0,−0.8,0.8,0,0,−2.1
Israel,1,1,0,0,0.5,0,0,1,1.4,0.8,−0.6,0,0.7,−0.2
Italy,1.25,1.25,−0.75,−0.75,−0.9,0,1.1,0,1.3,0,0,−2.7,−1.9,2.2
Jamaica,−0.65,−0.65,0,0,−0.8,2.6,0,0,0,0,−1,−2.7,−0.6,1.7
Jordan,0.05,0.05,−0.95,−0.95,1.5,−1.3,0,0,1,1,−0.9,0.6,0,−3.1
Japan,0.5,0.5,−0.85,−0.85,0,0,0,0,−1.2,0.3,−1.1,1.1,0,1.4
Kazakhstan,−0.85,−0.85,−0.75,−0.75,−0.6,−2.9,1.1,1.1,−1.1,0,0,−1.2,0,2
Kenya,−1.45,−1.45,−0.4,−0.4,0,0,4.2,0,2,0,−2.2,0,0.7,−1.3
Kyrgyz Republic,−0.15,−0.15,1.3,1.3,0.3,3.5,0,5.5,0.9,−4,1.8,0,−2.2,−6.8
Cambodia,0.5,0.5,0,0,0,0.9,−3.6,1.8,−5.1,0,−6.4,−0.4,−0.6,−4.3
South Korea,0.65,0.65,0.5,0.5,−0.5,0.7,−0.7,0,−0.9,−0.5,0.8,0,0,0.1
Kuwait,1.5,1.5,2.45,2.45,−1.4,0.4,0,0,0.7,0,0,0,0.8,−1.3
Lao,0,0,0,0,0,2.2,−1.1,0,0,1.6,0,0,−2.3,−3.7
Lebanon,−1,−1,1,1,−5,−2.7,0,0.7,−2.6,0,−1.4,−0.9,−2.7,−2
Liberia,0.15,0.15,−0.9,−0.9,0,−1.2,0,0,0,3.6,−0.8,1.2,1,−1.3
Libya,0.8,0.8,−0.3,−0.3,16.1,16,−3.3,−10.2,−15.5,0,0.7,−1.3,−1.7,−0.7
Sri Lanka,0.15,0.15,0.15,0.15,−0.6,−8.3,−0.6,0,7.3,0.6,0,−2.9,0.8,−1.3
Lesotho,−0.95,−0.95,−1.35,−1.35,3.1,3.3,0,0,−0.7,0,0.5,0,−1,−2.4
Lithuania,−0.35,−0.35,−0.6,−0.6,0,0,3,0,0,−0.7,−0.6,0.9,0,
Luxembourg,0,0,−1.1,−1.1,0,0,0,0,0,−0.7,0,0,0,−1.3
Latvia,−0.7,−0.7,−0.9,−0.9,0,0,0,4.3,−1.1,−0.6,−0.6,1.3,1.1,−2.5
Morocco,−0.1,−0.1,−0.45,−0.45,0.4,2.4,0,−0.7,6.6,1.1,1,1.2,1.1,−0.6
Moldova,0,0,−0.85,−0.85,0,−0.1,0,0,0.3,−3.4,−0.7,−0.9,−1,0.3
Madagascar,−1.25,−1.25,−8.15,−8.15,−0.1,0,3.9,1,4.3,2.2,0.4,1.1,4.2,0.6
Mexico,0.55,0.55,0.75,0.75,0,−0.3,0.1,−2.3,−1.3,−0.8,−0.6,−2.2,−1,−0.2
North Macedonia,−0.6,−0.6,−0.25,−0.25,0,0,0,0.9,−2.3,−7.9,3.4,3,1,−0.8
Mali,−0.6,−0.6,0.7,0.7,3.5,−12.4,7.8,−1.1,−0.9,0,−0.6,−2.3,−4.9,−9.9
Malta,0,0,−0.55,−0.55,0,0,0,1.1,0,0,−2.4,0.6,−2.6,−2.7
Myanmar,0,0,0,0,0,5.8,4.1,2.9,10.9,0.6,−3.7,0,−2.8,−5.1
